,Victims and accused,Number of homicide victims,,,,,,
Age group,Gender 8 9,2018,2019,2020,2021,2022,2023,2024
Total all ages,,Number,,,,,,
,All genders,665,691,765,801,885,796,788
,Male,497,530,578,592,669,574,540
,Female,167,156,181,202,206,212,240
0 to 11 years,All genders,16,26,41,32,25,32,35
,Male,7,15,26,13,17,19,12
,Female,9,11,14,18,6,13,23
12 to 17 years,All genders,28,21,33,27,20,34,29
,Male,20,19,23,20,15,25,20
,Female,8,2,10,7,5,8,8
18 to 24 years,All genders,120,122,123,139,140,115,88
,Male,99,107,104,116,111,89,65
,Female,21,14,19,23,27,25,21
25 to 29 years,All genders,103,95,110,118,123,89,108
,Male,79,74,90,93,101,75,85
,Female,24,20,19,24,21,14,23
30 to 39 years,All genders,149,142,168,177,231,201,185
,Male,112,115,135,138,180,153,139
,Female,36,27,32,38,48,45,44
40 to 49 years,All genders,99,102,109,123,131,124,133
,Male,85,78,79,84,96,91,91
,Female,14,23,29,36,34,32,41
50 to 59 years,All genders,69,81,89,84,83,100,88
,Male,48,61,62,65,62,67,54
,Female,21,19,25,18,21,32,34
60 years and over,All genders,80,98,92,101,125,98,122
,Male,46,58,59,63,82,53,74
,Female,34,39,33,38,43,43,46
Age unknown,All genders,1,4,0,0,7,3,0
,Male,1,3,0,0,5,2,0
,Female,0,1,0,0,1,0,0
